ix,race_id,driver_id,lap,position,time,milliseconds
400188,963,826,41,15,2:36.630,156630
400189,963,826,42,15,1:43.076,103076
400190,963,826,43,15,1:39.798,99798
400191,963,826,44,15,1:39.970,99970
400192,963,826,45,15,1:40.267,100267
400193,963,826,46,14,1:39.995,99995
400194,963,826,47,14,1:41.760,101760
400195,963,826,48,14,1:40.107,100107
400196,963,826,49,14,1:40.637,100637
400197,963,826,50,14,1:40.134,100134
400198,963,826,51,14,1:42.573,102573
400199,963,826,52,14,1:40.622,100622
400200,963,826,53,14,1:41.385,101385
400201,963,826,54,14,1:40.719,100719
400202,963,826,55,14,1:41.552,101552
400203,963,13,1,19,2:28.661,148661
400204,963,13,2,18,2:14.177,134177
400205,963,13,3,18,1:42.682,102682
400206,963,13,4,18,1:42.930,102930
400207,963,13,5,18,1:42.677,102677
400208,963,13,6,18,1:47.349,107349
400209,963,13,7,21,2:01.758,121758
400210,963,13,8,20,1:52.084,112084
400211,963,13,9,20,2:20.300,140300
400212,963,13,10,20,1:50.335,110335
400213,963,13,11,20,1:43.039,103039
400214,963,13,12,19,1:42.153,102153
400215,963,13,13,19,1:42.402,102402
400216,963,13,14,19,1:42.665,102665
400217,963,13,15,19,1:42.758,102758
400218,963,13,16,19,1:42.563,102563
400219,963,13,17,19,1:42.843,102843
400220,963,13,18,18,1:43.663,103663
400221,963,13,19,18,1:42.691,102691
400222,963,13,20,18,1:42.399,102399
400223,963,13,21,18,1:42.295,102295
400224,963,13,22,18,1:42.319,102319
400225,963,13,23,18,1:42.585,102585
400226,963,13,24,18,1:42.590,102590
400227,963,13,25,18,1:42.667,102667
400228,963,13,26,18,1:42.576,102576
400229,963,13,27,18,1:42.836,102836
400230,963,13,28,18,1:42.961,102961
400231,963,13,29,18,1:43.020,103020
400232,963,13,30,17,1:43.283,103283
400233,963,13,31,16,1:46.704,106704
400234,963,13,32,17,1:59.804,119804
400235,963,13,33,17,1:41.084,101084
400236,963,13,34,16,1:40.974,100974
400237,963,13,35,16,1:40.776,100776
400238,963,13,36,16,1:41.125,101125
400239,963,13,37,16,1:40.596,100596
400240,963,13,38,16,1:40.657,100657
400241,963,13,39,16,1:44.130,104130
400242,963,13,40,16,2:17.796,137796
400243,963,13,41,14,2:19.851,139851
400244,963,13,42,14,1:47.135,107135
400245,963,13,43,14,1:41.799,101799
400246,963,13,44,14,1:40.360,100360
400247,963,13,45,14,1:40.368,100368
400248,963,13,46,13,1:40.436,100436
400249,963,13,47,13,1:40.667,100667
400250,963,13,48,13,1:40.114,100114
400251,963,13,49,13,1:40.761,100761
400252,963,13,50,13,1:39.962,99962
400253,963,13,51,13,1:39.998,99998
400254,963,13,52,13,1:39.992,99992
400255,963,13,53,13,1:39.920,99920
400256,963,13,54,13,1:41.525,101525
400257,963,13,55,13,1:40.466,100466
400258,963,825,1,20,2:38.000,158000
400259,963,825,2,20,2:19.815,139815
400260,963,825,3,21,1:43.379,103379
400261,963,825,4,21,1:44.112,104112
400262,963,825,5,21,1:43.890,103890
400263,963,825,6,21,1:43.978,103978
400264,963,825,7,20,1:43.726,103726
400265,963,825,8,19,1:53.557,113557
400266,963,825,9,19,2:18.809,138809
400267,963,825,10,19,1:52.752,112752
400268,963,825,11,19,1:43.514,103514
400269,963,825,12,20,1:44.672,104672
400270,963,825,13,20,1:43.569,103569
400271,963,825,14,20,1:43.643,103643
400272,963,825,15,20,1:43.702,103702
400273,963,825,16,20,1:43.548,103548
400274,963,825,17,20,1:57.337,117337
400275,963,821,1,21,2:39.075,159075
400276,963,821,2,21,2:19.704,139704
400277,963,821,3,20,1:42.190,102190
400278,963,821,4,20,1:43.151,103151
400279,963,821,5,20,1:42.902,102902
400280,963,821,6,20,1:43.236,103236
400281,963,821,7,19,1:43.152,103152
400282,963,821,8,18,1:52.049,112049
400283,963,821,9,18,2:18.739,138739
400284,963,821,10,18,1:53.310,113310
400285,963,821,11,18,1:43.241,103241
400286,963,821,12,18,1:43.211,103211
400287,963,821,13,18,1:43.544,103544
400288,963,821,14,18,1:43.540,103540
400289,963,821,15,18,1:43.579,103579
400290,963,821,16,18,1:43.024,103024
400291,963,821,17,18,1:43.221,103221
400292,963,821,18,19,1:44.912,104912
400293,963,821,19,19,1:43.653,103653
400294,963,821,20,19,1:42.950,102950
400295,963,821,21,19,1:43.222,103222
400296,963,821,22,19,1:47.126,107126
400297,963,821,23,19,2:02.228,122228
400298,963,821,24,19,1:43.597,103597
400299,963,821,25,19,1:42.242,102242
400300,963,821,26,19,1:42.552,102552
400301,963,821,27,19,1:42.449,102449
400302,963,821,28,19,1:44.072,104072
400303,963,821,29,19,1:42.822,102822
400304,963,821,30,19,1:42.080,102080
400305,963,821,31,19,1:43.508,103508
400306,963,821,32,18,1:41.908,101908
400307,963,821,33,18,1:41.975,101975
400308,963,821,34,18,1:42.125,102125
400309,963,821,35,18,1:42.100,102100
400310,963,821,36,18,1:42.208,102208
400311,963,821,37,18,1:41.775,101775
400312,963,821,38,18,1:42.031,102031
400313,963,821,39,18,1:55.677,115677
400314,964,3,1,1,1:37.951,97951
400315,964,3,2,1,1:37.331,97331
400316,964,3,3,1,1:37.112,97112
400317,964,3,4,1,1:37.261,97261
400318,964,3,5,1,1:37.395,97395
400319,964,3,6,1,1:37.495,97495
400320,964,3,7,1,1:37.907,97907
400321,964,3,8,1,1:38.351,98351
400322,964,3,9,1,1:38.721,98721
400323,964,3,10,1,1:39.006,99006
400324,964,3,11,1,1:38.945,98945
400325,964,3,12,1,1:41.755,101755
400326,964,3,13,1,1:55.965,115965
400327,964,3,14,1,1:37.382,97382
400328,964,3,15,1,1:37.635,97635
400329,964,3,16,1,1:37.438,97438
400330,964,3,17,1,1:36.946,96946
400331,964,3,18,1,1:37.151,97151
400332,964,3,19,1,1:36.753,96753
400333,964,3,20,1,1:36.970,96970
400334,964,3,21,1,1:37.213,97213
400335,964,3,22,1,1:37.558,97558
400336,964,3,23,1,1:37.391,97391
400337,964,3,24,1,1:37.190,97190
400338,964,3,25,1,1:37.569,97569
400339,964,3,26,1,1:37.751,97751
400340,964,3,27,1,1:37.674,97674
400341,964,3,28,1,1:37.755,97755
400342,964,3,29,1,1:39.944,99944
400343,964,3,30,3,1:57.033,117033
400344,964,3,31,3,1:36.049,96049
400345,964,3,32,3,1:36.664,96664
400346,964,3,33,2,1:37.032,97032
400347,964,3,34,2,1:37.221,97221
400348,964,3,35,1,1:37.085,97085
400349,964,3,36,1,1:36.155,96155
400350,964,3,37,1,1:36.945,96945
400351,964,3,38,1,1:37.493,97493
400352,964,3,39,1,1:37.058,97058
400353,964,3,40,1,1:36.400,96400
400354,964,3,41,1,1:36.951,96951
400355,964,3,42,1,1:37.803,97803
400356,964,3,43,1,1:36.862,96862
400357,964,3,44,1,1:36.797,96797
400358,964,3,45,1,1:36.954,96954
400359,964,3,46,1,1:36.949,96949
400360,964,3,47,1,1:36.948,96948
400361,964,3,48,1,1:36.698,96698
400362,964,3,49,1,1:36.457,96457
400363,964,3,50,1,1:37.023,97023
400364,964,3,51,1,1:37.210,97210
400365,964,3,52,1,1:37.518,97518
400366,964,3,53,1,1:38.513,98513
400367,964,830,1,2,1:39.495,99495
400368,964,830,2,2,1:37.559,97559
400369,964,830,3,2,1:37.517,97517
400370,964,830,4,2,1:37.932,97932
400371,964,830,5,2,1:38.083,98083
400372,964,830,6,2,1:38.314,98314
400373,964,830,7,2,1:38.551,98551
400374,964,830,8,2,1:38.667,98667
400375,964,830,9,2,1:39.124,99124
400376,964,830,10,3,1:41.482,101482
400377,964,830,11,6,1:55.988,115988
400378,964,830,12,6,1:37.364,97364
400379,964,830,13,3,1:37.656,97656
400380,964,830,14,2,1:37.474,97474
400381,964,830,15,2,1:37.589,97589
400382,964,830,16,2,1:37.333,97333
400383,964,830,17,2,1:37.544,97544
400384,964,830,18,2,1:37.467,97467
400385,964,830,19,2,1:37.184,97184
400386,964,830,20,2,1:37.165,97165
400387,964,830,21,2,1:37.477,97477
400388,964,830,22,2,1:37.394,97394
400389,964,830,23,2,1:37.538,97538
400390,964,830,24,2,1:37.545,97545
400391,964,830,25,2,1:37.559,97559
400392,964,830,26,2,1:37.664,97664
400393,964,830,27,2,1:38.197,98197
400394,964,830,28,3,1:41.367,101367
400395,964,830,29,4,1:55.657,115657
400396,964,830,30,4,1:36.575,96575
400397,964,830,31,4,1:36.766,96766
400398,964,830,32,4,1:36.850,96850
400399,964,830,33,4,1:36.911,96911
400400,964,830,34,3,1:36.767,96767
400401,964,830,35,2,1:36.879,96879
400402,964,830,36,2,1:37.647,97647
400403,964,830,37,2,1:36.520,96520
400404,964,830,38,2,1:36.602,96602
400405,964,830,39,2,1:37.011,97011
400406,964,830,40,2,1:37.915,97915
400407,964,830,41,2,1:37.651,97651
400408,964,830,42,2,1:37.185,97185
400409,964,830,43,2,1:36.386,96386
400410,964,830,44,2,1:37.115,97115
400411,964,830,45,2,1:36.499,96499
400412,964,830,46,2,1:36.837,96837
400413,964,830,47,2,1:36.743,96743
400414,964,830,48,2,1:36.999,96999
400415,964,830,49,2,1:37.291,97291
400416,964,830,50,2,1:36.902,96902
400417,964,830,51,2,1:37.100,97100
400418,964,830,52,2,1:37.469,97469
400419,964,830,53,2,1:37.805,97805
400420,964,815,1,3,1:40.643,100643
400421,964,815,2,3,1:38.673,98673
400422,964,815,3,4,1:39.736,99736
400423,964,815,4,4,1:38.991,98991
400424,964,815,5,4,1:38.880,98880
400425,964,815,6,4,1:38.905,98905
400426,964,815,7,4,1:39.282,99282
400427,964,815,8,4,1:39.488,99488
400428,964,815,9,4,1:39.388,99388
400429,964,815,10,4,1:39.964,99964
400430,964,815,11,3,1:39.708,99708
400431,964,815,12,4,1:42.137,102137
400432,964,815,13,10,2:00.064,120064
400433,964,815,14,9,1:39.219,99219
400434,964,815,15,9,1:39.256,99256
400435,964,815,16,9,1:40.493,100493
400436,964,815,17,8,1:38.258,98258
400437,964,815,18,8,1:39.907,99907
400438,964,815,19,7,1:37.824,97824
400439,964,815,20,7,1:38.066,98066
400440,964,815,21,7,1:38.374,98374
400441,964,815,22,7,1:38.553,98553
400442,964,815,23,7,1:38.855,98855
400443,964,815,24,7,1:38.498,98498
400444,964,815,25,7,1:38.785,98785
400445,964,815,26,7,1:38.431,98431
400446,964,815,27,6,1:38.249,98249
400447,964,815,28,6,1:38.730,98730
400448,964,815,29,7,1:40.880,100880
400449,964,815,30,7,1:56.688,116688
400450,964,815,31,7,1:36.756,96756
400451,964,815,32,7,1:37.256,97256
400452,964,815,33,7,1:37.362,97362
400453,964,815,34,7,1:37.367,97367
400454,964,815,35,7,1:37.285,97285
400455,964,815,36,7,1:37.290,97290
400456,964,815,37,7,1:37.639,97639
400457,964,815,38,7,1:37.789,97789
400458,964,815,39,7,1:37.386,97386
400459,964,815,40,7,1:37.381,97381
400460,964,815,41,7,1:37.663,97663
400461,964,815,42,7,1:37.841,97841
400462,964,815,43,7,1:37.722,97722
400463,964,815,44,7,1:37.283,97283
400464,964,815,45,7,1:37.605,97605
400465,964,815,46,7,1:37.590,97590
400466,964,815,47,7,1:37.504,97504
400467,964,815,48,7,1:37.543,97543
400468,964,815,49,7,1:37.571,97571
400469,964,815,50,7,1:37.619,97619
400470,964,815,51,7,1:38.159,98159
